time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577836979.79960704,0.04238098,0.01915203,-nan,2860.00000000,0.04238098,0.000000,0.000000
1577836979.89944291,0.02647284,0.00712311,-nan,3951.00000000,0.01056469,0.000000,0.000000
1577836979.99928021,0.02211297,0.00737697,-nan,4860.00000000,0.01339323,0.000000,0.000000
1577836980.09991503,0.01906196,0.00435008,-nan,5427.00000000,0.00990894,0.000000,0.000000
1577836980.19976902,0.01732456,0.00618110,-nan,6086.00000000,0.01037495,0.000000,0.000000
1577836980.29959798,0.02785468,0.00652598,0.00001459,6171.00000000,0.08050530,0.000000,0.000000
1577836980.39945602,0.03753886,0.00647456,0.00001521,6576.00000000,0.09564393,0.000000,0.000000
1577836980.49929190,0.04618226,0.00641098,0.00001388,6763.00000000,0.10668606,0.000000,0.000000
1577836980.59993601,0.05236285,0.00839283,0.00001461,7141.00000000,0.10180756,0.000000,0.000000
1577836980.69978285,0.05562284,0.00390700,0.00001468,7220.00000000,0.08496278,0.000000,0.000000
1577836980.79962015,0.05791825,0.00420867,0.00001438,7483.00000000,0.08087234,0.000000,0.000000
1577836980.89947104,0.06038189,0.00521860,0.00001524,7802.00000000,0.08748196,0.000000,0.000000
1577836980.99931002,0.06251762,0.00371676,0.00001498,7996.00000000,0.08814631,0.000000,0.000000
1577836981.09994102,0.06537537,0.00619243,0.00001723,8219.00000000,0.10252613,0.000000,0.000000
1577836981.19979382,0.06825158,0.00425758,0.00001596,8254.00000000,0.10851851,0.000000,0.000000
1577836981.29963589,0.07056242,0.00470688,0.00001667,8367.00000000,0.10522505,0.000000,0.000000
1577836981.39946699,0.07122913,0.00658004,0.00001359,8436.00000000,0.08189642,0.000000,0.000000
1577836981.49928093,0.07312569,0.00426520,0.00001751,8621.00000000,0.10536733,0.000000,0.000000
1577836981.59990597,0.07501042,0.00596110,0.00001721,8391.00000000,0.10893556,0.000000,0.000000
1577836981.69974613,0.07585008,0.00526524,0.00001475,7781.00000000,0.09180365,0.000000,0.000000
1577836981.79958701,0.07658007,0.00468690,0.00001490,7807.00000000,0.09117980,0.000000,0.000000
1577836981.89942408,0.07697782,0.00328457,0.00001823,8073.00000000,0.08533053,0.000000,0.000000
1577836981.99967408,0.07781911,0.00347581,0.00001596,8333.00000000,0.09632761,0.000000,0.000000
1577836982.09952784,0.07914936,0.00392812,0.00001680,8519.00000000,0.10974515,0.000000,0.000000
1577836982.19936800,0.07971878,0.00433113,0.00001642,8699.00000000,0.09338480,0.000000,0.000000
1577836982.29959989,0.08023175,0.00416820,0.00001519,8852.00000000,0.09305602,0.000000,0.000000
1577836982.39944696,0.08103652,0.00620478,0.00001692,9003.00000000,0.10196045,0.000000,0.000000
1577836982.49928904,0.08198776,0.00341702,0.00001762,9139.00000000,0.10767131,0.000000,0.000000
1577836982.59992814,0.08201325,0.00331059,0.00001527,9220.00000000,0.08272685,0.000000,0.000000
1577836982.69975495,0.08234557,0.00368388,0.00001681,9373.00000000,0.09198286,0.000000,0.000000
1577836982.79959297,0.08255992,0.00563735,0.00001600,9447.00000000,0.08899045,0.000000,0.000000
1577836982.89940095,0.08321682,0.00476214,0.00001556,9528.00000000,0.10358073,0.000000,0.000000
1577836982.99963403,0.08482107,0.00614379,0.00002090,9579.00000000,0.13615699,0.000000,0.000000
1577836983.09945488,0.08519409,0.00523737,0.00001747,9622.00000000,0.09750397,0.000000,0.000000
1577836983.19928408,0.08525210,0.00545162,0.00001673,9645.00000000,0.08722437,0.000000,0.000000
1577836983.29990602,0.08562555,0.00678715,0.00001672,9755.00000000,0.09869636,0.000000,0.000000
1577836983.39974904,0.08567625,0.00392215,0.00001782,9755.00000000,0.08750134,0.000000,0.000000
1577836983.49958205,0.08602410,0.00362188,0.00001605,9799.00000000,0.09889441,0.000000,0.000000
1577836983.59942985,0.08610106,0.00564157,0.00001553,9906.00000000,0.08902581,0.000000,0.000000
1577836983.69966316,0.08658640,0.00887805,0.00001644,9938.00000000,0.10551451,0.000000,0.000000
1577836983.79950500,0.08662530,0.00341824,0.00001632,9938.00000000,0.08818116,0.000000,0.000000
1577836983.89935207,0.08674980,0.00335653,0.00001808,10030.00000000,0.09185445,0.000000,0.000000
1577836983.99960017,0.08662402,0.00540953,0.00001506,10091.00000000,0.08134136,0.000000,0.000000
1577836984.09943295,0.08693367,0.00486780,0.00001668,10110.00000000,0.10024852,0.000000,0.000000
1577836984.19967484,0.08715656,0.00452331,0.00001434,10032.00000000,0.09696391,0.000000,0.000000
1577836984.29951000,0.08720297,0.00447760,0.00001479,10101.00000000,0.08929142,0.000000,0.000000
1577836984.39936686,0.08727874,0.00322139,0.00001652,10122.00000000,0.09076398,0.000000,0.000000
1577836984.49998498,0.08727953,0.00573151,0.00001619,10146.00000000,0.08731653,0.000000,0.000000
